"agent","episode","environment_seed","agent_seed","horizon","reward","length","source_commit","checkpoint_sha256"
"random","0","20360918","20360918","500","-0.8400","47","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","1","20360919","20360919","500","-0.7200","13","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","2","20360920","20360920","500","-0.9400","12","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","3","20360921","20360921","500","-0.8000","17","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","4","20360922","20360922","500","-0.8100","9","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","5","20360923","20360923","500","-0.9200","10","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","6","20360924","20360924","500","-0.9400","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","7","20360925","20360925","500","-0.9100","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","8","20360926","20360926","500","-0.8700","19","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","9","20360927","20360927","500","-0.9200","8","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","10","20360928","20360928","500","-0.9100","23","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","11","20360929","20360929","500","-0.6800","18","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","12","20360930","20360930","500","-0.7400","11","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","13","20360931","20360931","500","-0.8900","15","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","14","20360932","20360932","500","-0.8200","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","15","20360933","20360933","500","-0.6500","10","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","16","20360934","20360934","500","-0.9100","12","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","17","20360935","20360935","500","-0.9000","2","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","18","20360936","20360936","500","-0.9300","8","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","19","20360937","20360937","500","-0.7100","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","20","20360938","20360938","500","-0.9000","1","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","21","20360939","20360939","500","-0.9100","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","22","20360940","20360940","500","-0.9200","4","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","23","20360941","20360941","500","-0.8900","18","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","24","20360942","20360942","500","-0.7500","7","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","25","20360943","20360943","500","-0.9000","1","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","26","20360944","20360944","500","-0.8300","13","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","27","20360945","20360945","500","-0.8000","2","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","28","20360946","20360946","500","-0.6900","24","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","29","20360947","20360947","500","-0.8800","10","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","30","20360948","20360948","500","-0.8100","7","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","31","20360949","20360949","500","-0.9000","1","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","32","20360950","20360950","500","-0.9000","5","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","33","20360951","20360951","500","-0.7800","20","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","34","20360952","20360952","500","-0.9000","1","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","35","20360953","20360953","500","-0.7700","18","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","36","20360954","20360954","500","-0.7100","15","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","37","20360955","20360955","500","-0.8200","7","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","38","20360956","20360956","500","-0.8500","3","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
"random","39","20360957","20360957","500","-0.9200","8","8c368f91e556e75a90356dbf3f9ffa47990c6f4a",""
