task_id,tier,track,scored
S0.1_random_labels,S0,sequence,true
S0.2_lookup_table,S0,sequence,false
S1.1_reverse,S1,sequence,true
S1.2_sort,S1,sequence,true
S1.3_rotate,S1,sequence,true
S1.4_count_symbol,S1,sequence,true
S1.5_parity,S1,sequence,true
S1.6_prefix_sum,S1,sequence,true
S1.7_deduplicate,S1,sequence,true
S1.8_extrema,S1,sequence,true
S2.1_cumulative_xor,S2,sequence,true
S2.2_balanced_parens,S2,sequence,true
S2.3_running_min,S2,sequence,true
S2.5_checksum,S2,sequence,true
S3.1_dedup_sort_count,S3,sequence,true
S3.2_filter_sort_sum,S3,sequence,true
S3.4_rle_encode,S3,sequence,true
C0.1_random_class,C0,classification,true
C0.2_majority_class,C0,classification,false
C1.1_numeric_threshold,C1,classification,true
C1.2_range_binning,C1,classification,true
C1.3_categorical_match,C1,classification,true
C1.5_numeric_comparison,C1,classification,true
C1.6_modular_class,C1,classification,true
C2.1_and_rule,C2,classification,true
C2.2_or_rule,C2,classification,true
C2.3_nested_if_else,C2,classification,true
C2.5_k_of_n,C2,classification,true
C2.6_categorical_gate,C2,classification,true
C3.1_xor,C3,classification,true
C3.3_rank_based,C3,classification,true
C3.5_interaction_poly,C3,classification,true
