game,method,seed,unseen_mean
flappy,testbatch,1,54
flappy,testbatch,2,54
flappy,testbatch,3,54
flappy,fitness,1,46
flappy,fitness,2,54
flappy,fitness,3,54
snake,testbatch,1,25
snake,testbatch,2,25
snake,testbatch,3,31
snake,fitness,1,23
snake,fitness,2,28
snake,fitness,3,26
2048,testbatch,1,38
2048,testbatch,2,42
2048,testbatch,3,33
2048,fitness,1,36
2048,fitness,2,32
2048,fitness,3,38
pacman,testbatch,1,33
pacman,testbatch,2,29
pacman,testbatch,3,29
pacman,fitness,1,33
pacman,fitness,2,29
pacman,fitness,3,29
